Robert Probst BEAM INC,Robert Probst,BEAM INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Sundby ABM INDUSTRIES INC,George Sundby,ABM INDUSTRIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Lusk ABM INDUSTRIES INC,James Lusk,ABM INDUSTRIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Scaglione ABM INDUSTRIES INC,Diego Scaglione,ABM INDUSTRIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alison Rand PRIMERICA INC,Alison Rand,PRIMERICA INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Feeler US ECOLOGY INC,Jeffrey Feeler,US ECOLOGY INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gerratt US ECOLOGY INC,Eric Gerratt,US ECOLOGY INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holly Koeppel AMERICAN ELECTRIC POWER CO,Holly Koeppel,AMERICAN ELECTRIC POWER CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Tierney AMERICAN ELECTRIC POWER CO,Brian Tierney,AMERICAN ELECTRIC POWER CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Crittenden AMERICAN EXPRESS CO,Gary Crittenden,AMERICAN EXPRESS CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Henry AMERICAN EXPRESS CO,Daniel Henry,AMERICAN EXPRESS CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Campbell AMERICAN EXPRESS CO,Jeffrey Campbell,AMERICAN EXPRESS CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kriss Cloninger AFLAC INC,Kriss Cloninger,AFLAC INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick Crawford AFLAC INC,Frederick Crawford,AFLAC INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Smith AMERICAN GREETINGS  -CL A,Stephen Smith,AMERICAN GREETINGS  -CL A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Steinberg AMERICAN GREETINGS  -CL A,Gregory Steinberg,AMERICAN GREETINGS  -CL A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Martin WYETH,Kenneth Martin,WYETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Norden WYETH,Gregory Norden,WYETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Bensinger AMERICAN INTERNATIONAL GROUP,Steven Bensinger,AMERICAN INTERNATIONAL GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Herzog AMERICAN INTERNATIONAL GROUP,David Herzog,AMERICAN INTERNATIONAL GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddartha Sankaran AMERICAN INTERNATIONAL GROUP,Siddartha Sankaran,AMERICAN INTERNATIONAL GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dana Kelley AMERICAN PACIFIC CORP,Dana Kelley,AMERICAN PACIFIC CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Galaznik AMERICAN SCIENCE ENGINEERING,Kenneth Galaznik,AMERICAN SCIENCE ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. D'Aloia TRANE INC,G. D'Aloia,TRANE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Barry AMERICAN VANGUARD CORP,James Barry,AMERICAN VANGUARD CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Johnson AMERICAN VANGUARD CORP,David Johnson,AMERICAN VANGUARD CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Molinelli AMETEK INC,John Molinelli,AMETEK INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Mandos AMETEK INC,Robert Mandos,AMETEK INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Burke AMETEK INC,William Burke,AMETEK INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Nanula AMGEN INC,Richard Nanula,AMGEN INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bradway AMGEN INC,Robert Bradway,AMGEN INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Peacock AMGEN INC,Jonathan Peacock,AMGEN INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Kelly AMGEN INC,Michael Kelly,AMGEN INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Meline AMGEN INC,David Meline,AMGEN INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph McDonough ANALOG DEVICES,Joseph McDonough,ANALOG DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Zinsner ANALOG DEVICES,David Zinsner,ANALOG DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Millerick ANALOGIC CORP,John Millerick,ANALOGIC CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Levitz ANALOGIC CORP,Michael Levitz,ANALOGIC CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Frost ANALOGIC CORP,Mark Frost,ANALOGIC CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Steichen ANALYSTS INTERNATIONAL CORP,David Steichen,ANALYSTS INTERNATIONAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Strobel ANALYSTS INTERNATIONAL CORP,Randy Strobel,ANALYSTS INTERNATIONAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Wolff ANALYSTS INTERNATIONAL CORP,William Wolff,ANALYSTS INTERNATIONAL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marty Kittrell ANDREW CORP,Marty Kittrell,ANDREW CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Shaffer ANGELICA CORP,James Shaffer,ANGELICA CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Smith ANDERSONS INC,Gary Smith,ANDERSONS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard George ANDERSONS INC,Richard George,ANDERSONS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Conrad ANDERSONS INC,Nicholas Conrad,ANDERSONS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Granato ANDERSONS INC,John Granato,ANDERSONS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Koch NABORS INDUSTRIES LTD,Bruce Koch,NABORS INDUSTRIES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Wood NABORS INDUSTRIES LTD,R. Wood,NABORS INDUSTRIES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Restrepo NABORS INDUSTRIES LTD,William Restrepo,NABORS INDUSTRIES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Baker ANHEUSER-BUSCH COS INC,W. Baker,ANHEUSER-BUSCH COS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley Mendenhall K2 INC,Dudley Mendenhall,K2 INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Plank APACHE CORP,Roger Plank,APACHE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Chambers APACHE CORP,Thomas Chambers,APACHE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Leon APACHE CORP,Alfonso Leon,APACHE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Riney APACHE CORP,Stephen Riney,APACHE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Porter APOGEE ENTERPRISES INC,James Porter,APOGEE ENTERPRISES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
